id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
52857,26428,52856,3074,4036,58379,1112,5,0,16,0,1
52858,26429,52859,4100,5335,78094005,4417,1,10,21,0,1
52859,26429,52858,5335,4100,21904995,2067,3,0,19,0,3
52860,26430,52861,4100,5336,41544803,4880,6,0,88,0,1
52861,26430,52860,5336,4100,58454197,4702,4,0,71,0,1
52862,26431,52863,4100,5337,46074816,2700,3,0,37,0,0
52863,26431,52862,5337,4100,53926184,4964,9,10,50,0,1
52864,26432,52865,4100,5338,39516328,1512,7,0,70,0,0
52865,26432,52864,5338,4100,60483672,3680,8,0,55,0,1
52866,26433,52867,160,5064,18458000,3630,5,10,35,0,0
52867,26433,52866,5064,160,81541000,1072,6,0,62,0,0
52868,26434,52869,1088,5328,39545000,3112,1,10,47,0,0
52869,26434,52868,5328,1088,60455000,3274,4,0,93,0,0
52870,26435,52871,5064,150,83494432,1092,1,0,49,0,1
52871,26435,52870,150,5064,16504568,2544,4,0,20,0,1
52872,26436,52873,2520,177,54133859,4163,6,0,72,0,0
52873,26436,52872,177,2520,45867141,1861,7,0,44,0,1
52874,26437,52875,1405,2453,78379000,1629,4,0,20,0,0
52875,26437,52874,2453,1405,21621000,1243,1,0,73,0,0
52876,26438,52877,1405,2453,62372000,2310,8,0,17,0,0
52877,26438,52876,2453,1405,37626000,4001,4,10,73,0,0
52878,26439,52879,1405,3291,97111000,2938,9,0,31,0,0
52879,26439,52878,3291,1405,2888000,1623,5,0,30,0,0
52880,26440,52881,2656,3960,67213875,1465,5,0,36,0,2
52881,26440,52880,3960,2656,32785125,3046,9,10,96,0,0
52882,26441,52883,3750,5285,60236000,4371,6,10,63,0,0
52883,26441,52882,5285,3750,39763000,1644,7,10,29,0,0
52884,26442,52885,5285,3908,45293000,4439,6,10,72,0,0
52885,26442,52884,3908,5285,54707000,2208,1,1000,93,0,0
52886,26443,52887,2558,5328,52946000,4632,6,10,37,0,0
52887,26443,52886,5328,2558,47055000,3926,6,0,31,0,0
52888,26444,52889,468,4608,56232000,2596,1,0,21,0,0
52889,26444,52888,4608,468,43769000,4703,3,0,81,0,0
52890,26445,52891,5064,4882,14011000,2378,1,0,51,0,0
52891,26445,52890,4882,5064,85988000,2494,1,0,30,0,0
52892,26446,52893,326,5323,48958009,3521,9,0,73,0,1
52893,26446,52892,5323,326,51039991,3216,9,10,92,0,0
52894,26447,52895,5064,4323,99379000,1369,9,0,59,0,0
52895,26447,52894,4323,5064,618000,1495,6,0,55,0,0
52896,26448,52897,5199,4808,13581000,2361,1,10,93,0,0
52897,26448,52896,4808,5199,86418000,4851,1,0,96,0,0
52898,26449,52899,76,1653,52089035,4632,5,0,68,0,0
52899,26449,52898,1653,76,47910965,4396,6,10,73,0,1
52900,26450,52901,5339,79,52224681,2411,5,10,95,0,2
52901,26450,52900,79,5339,47774319,1752,7,0,76,0,0
52902,26451,52903,4426,5064,14398000,1187,5,0,62,0,0
52903,26451,52902,5064,4426,85603000,2061,2,10,23,0,0
52904,26452,52905,4100,5340,45185392,1405,8,0,38,0,2
52905,26452,52904,5340,4100,54813608,2297,8,0,75,0,6
52906,26453,52907,130,278,43551000,4407,1,0,32,0,0
52907,26453,52906,278,130,56448000,4345,3,0,11,0,0
52908,26454,52909,2226,4048,99628000,1505,7,0,41,0,0
52909,26454,52908,4048,2226,372000,3160,9,0,68,0,0
52910,26455,52911,5064,5080,4589000,2500,7,0,46,0,0
52911,26455,52910,5080,5064,95411000,2269,3,0,18,0,0
52912,26456,52913,3026,2831,69837000,3954,6,0,28,0,0
52913,26456,52912,2831,3026,30165000,2508,3,0,58,0,0
52914,26457,52915,5341,3099,69594626,4981,5,0,41,0,1
52915,26457,52914,3099,5341,30404374,1273,2,0,68,0,0
52916,26458,52917,76,1653,22489045,3626,7,10,87,0,1
52917,26458,52916,1653,76,77509955,4649,9,0,84,0,0
52918,26459,52919,1115,5341,79774000,3734,4,0,91,0,0
52919,26459,52918,5341,1115,20224000,3349,9,0,87,0,0
52920,26460,52921,3418,3534,96703000,3401,4,0,82,0,0
52921,26460,52920,3534,3418,3297000,3116,3,1000,10,0,0
52922,26461,52923,2,252,72297000,4407,3,10,29,0,0
52923,26461,52922,252,2,27703000,2051,1,0,70,0,0
52924,26462,52925,5157,2223,70839000,3449,3,100,78,0,0
52925,26462,52924,2223,5157,29160000,2162,2,0,11,0,0
52926,26463,52927,4388,252,43048000,3768,7,10,58,0,0
52927,26463,52926,252,4388,56952000,4173,2,0,15,0,0
52928,26464,52929,820,5067,60058000,3275,4,10,96,0,0
52929,26464,52928,5067,820,39942000,4963,3,0,51,0,0
52930,26465,52931,5342,130,93871000,2464,6,0,32,0,0
52931,26465,52930,130,5342,6129000,1266,8,10,26,0,0
52932,26466,52933,431,5323,89518000,1486,3,0,45,0,0
52933,26466,52932,5323,431,10482000,3143,3,0,60,0,0
52934,26467,52935,2119,5316,58588000,1526,6,0,90,0,0
52935,26467,52934,5316,2119,41412000,3463,5,0,98,0,0
52936,26468,52937,4324,5323,19445000,3740,2,10,48,0,0
52937,26468,52936,5323,4324,80555000,2438,5,0,10,0,0
52938,26469,52939,4414,5245,53551000,2482,2,1000,18,0,0
52939,26469,52938,5245,4414,46449000,4715,8,0,93,0,0
52940,26470,52941,177,5323,47932000,3836,4,10,42,0,0
52941,26470,52940,5323,177,52069000,2833,3,0,23,0,0
52942,26471,52943,5342,400,27920898,2981,6,0,13,0,1
52943,26471,52942,400,5342,72079102,4859,9,0,16,0,0
52944,26472,52945,5275,177,61201000,4126,9,0,50,0,0
52945,26472,52944,177,5275,38799000,2474,9,0,82,0,0
52946,26473,52947,5342,342,114387,1904,5,10,63,0,1
52947,26473,52946,342,5342,99885613,4851,9,0,78,0,0
52948,26474,52949,5127,4346,97055000,3288,8,10,81,0,0
52949,26474,52948,4346,5127,2945000,1617,6,0,59,0,0
52950,26475,52951,1426,5127,85834000,3476,8,10,88,0,0
52951,26475,52950,5127,1426,14167000,1851,5,10,87,0,0
52952,26476,52953,2068,5127,96577000,1068,2,0,48,0,0
52953,26476,52952,5127,2068,3422000,3024,6,0,82,0,0
52954,26477,52955,5127,389,67766000,1664,8,0,46,0,0
52955,26477,52954,389,5127,32233000,4195,7,0,36,0,0
52956,26478,52957,5127,2282,27886000,4474,8,0,53,0,0
52957,26478,52956,2282,5127,72114000,2422,5,0,37,0,0
52958,26479,52959,5127,58,81047827,3298,3,0,30,0,1
52959,26479,52958,58,5127,18951173,1794,1,0,21,0,0
52960,26480,52961,5127,414,54017000,2526,6,0,21,0,0
52961,26480,52960,414,5127,45983000,4614,3,0,97,0,0
52962,26481,52963,468,157,23508000,4160,9,10,42,0,0
52963,26481,52962,157,468,76491000,3558,6,100,30,0,0
